hhcode,weight,food_total,nonfood_total,selfemp_income,total_income,treatment,loan_amount
740419,1,394,5607,0,6001,1,14000
740449,1,514,8880,0,9394,0,0
740459,1,751,14000,0,14751,0,0
740519,1,882,13560,60,14502,1,14000
740549,1,299,5230,0,5529,1,10000
740559,1,831,32810,0,33641,1,10000
740619,1,378,6025,70,6473,1,15000
740719,1,465,4680,65,5210,1,18000
740819,1,498,31850,0,32348,1,29000
740919,1,262,3288,0,3550,1,3000
741019,1,503,7400,0,7903,1,18000
810111,1,237.5,4560,0,4797.5,1,19200
810141,1,179,2205,0,2384,0,0
810151,1,309,2730,0,3039,1,0
810211,1,724,69010,40,69774,1,17500
810241,1,269,1560,0,1829,0,1000
810251,1,437,8920,0,9357,0,0
810311,1,1203,59710,0,60913,1,3000
810341,1,252,20880,0,21132,1,0
810351,1,571,9560,0,10131,0,10000
810411,1,508.5,2970,0,3478.5,1,0
810441,1,497,5125,0,5622,0,0
810459,1,451,13915,0,14366,0,9000
810541,1,334,2800,200,3334,0,0
810711,1,574,3585,0,4159,1,1000
810811,1,509,4245,360,5114,1,15000
811011,1,479,12215,0,12694,1,0
811111,1,457,3800,0,4257,1,4000
811211,1,444,13520,150,14114,1,4500
811212,1,77,5700,70,5847,0,0
811213,1,223,3590,70,3883,0,0
820111,1,437,5590,0,6027,1,0
820141,1,354,3845,0,4199,1,0
820151,1,486,6420,50,6956,0,15000
820211,1,163,1125,0,1288,1,0
820241,1,346,6550,0,6896,1,0
820251,1,407,15750,0,16157,1,5000
820311,1,317,4210,70,4597,1,0
820341,1,271,3070,0,3341,0,0
820351,1,337,10410,0,10747,1,0
820411,1,263,9817,0,10080,1,25000
820412,1,390,5370,150,5910,1,1000
820413,1,454,75775,0,76229,1,3000
820441,1,241,3420,0,3661,1,17000
820459,1,593,23760,0,24353,0,0
820511,1,290,4175,0,4465,1,2000
820541,1,336,8915,0,9251,0,4000
820611,1,150,1725,0,1875,1,0
820612,1,286,9030,0,9316,1,8000
820613,1,174,2190,0,2364,1,28000
820711,1,687,6580,0,7267,1,2000
820712,1,329,28455,0,28784,1,46000
820811,1,87,1570,300,1957,1,0
820911,1,351,3405,0,3756,1,5000
821011,1,442,11080,0,11522,1,33000
821012,1,265,10330,0,10595,1,0
821111,1,300,8675,0,8975,1,13500
830111,1,296,3982,0,4278,1,5000
830141,1,277,3982,0,4259,1,25000
830151,1,645,141360,0,142005,0,20000
830211,1,231,4025,0,4256,1,13000
830251,1,126,2820,0,2946,0,0
830311,1,145,1898,70,2113,1,0
830341,1,256,3110,0,3366,1,41000
830351,1,457,11985,0,12442,1,3000
830411,1,348,5545,0,5893,1,9000
830441,1,344,5040,0,5384,0,0
830459,1,552,14145,0,14697,0,29000
830541,1,351,4610,0,4961,1,16500
830611,1,336,4575,50,4961,1,7000
830711,1,459,15610,0,16069,1,7000
830811,1,314,3935,0,4249,1,0
830911,1,396,9120,0,9516,1,12000
831011,1,689,19460,0,20149,1,8000
831012,1,335,5395,120,5850,1,0
831111,1,233,4530,0,4763,1,24500
831211,1,447,8380,0,8827,1,7500
910121,1,921,16742,0,17663,1,18000
910141,1,509,4390,0,4899,1,13000
910151,1,250,2917,0,3167,0,0
910221,1,308,22890,0,23198,1,5000
910222,1,506,18509,0,19015,1,20000
910241,1,290,3065,0,3355,1,6000
910251,1,624,22885,0,23509,0,0
910321,1,451,5200,0,5651,1,0
910322,1,267.5,2458,50,2775.5,1,7000
910341,1,498,12885,0,13383,0,0
910351,1,1231,86505,0,87736,1,9000
910352,1,340,4060,0,4400,0,0
