"casenum","date","weight_","hhcode","crisisid","crisisde","loss","hcf1","hcf2","exp"
11,"9/12/99",1,2541149,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
12,"9/12/99",1,2541249,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,"9/12/99",1,2541349,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
14,"9/12/99",1,2541449,8,"Huge expenditure due to illness",17000,22,1.79769313486232e+308,17000
15,"9/12/99",1,2541549,30,"Others",500,7,1.79769313486232e+308,500
35,"7/13/99",1,2610141,3,"Burglery/Theft",1250,1,1.79769313486232e+308,1.79769313486232e+308
36,"7/13/99",1,2610141,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,700
63,"7/13/99",1,2610151,1,"Death of primary income eraner",1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308
64,"7/13/99",1,2610151,4,"Theft of cow/buffalo",11000,1,1.79769313486232e+308,1.79769313486232e+308
65,"7/13/99",1,2610151,9,"Loss of money",1000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"7/13/99",1,2610152,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,1000
67,"7/13/99",1,2610152,9,"Loss of money",500,1,1.79769313486232e+308,1.79769313486232e+308
37,"7/13/99",1,2610241,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,2000
38,"7/13/99",1,2610241,27,"Burning of house by fire",700,2,1.79769313486232e+308,700
68,"7/13/99",1,2610251,3,"Burglery/Theft",2500,1,1.79769313486232e+308,1.79769313486232e+308
69,"7/13/99",1,2610251,9,"Loss of money",2000,1,1.79769313486232e+308,1.79769313486232e+308
70,"7/13/99",1,2610252,3,"Burglery/Theft",3500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"7/13/99",1,2610252,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,3000
72,"7/13/99",1,2610253,9,"Loss of money",500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
39,"7/13/99",1,2610341,8,"Huge expenditure due to illness",750,2,4,750
73,"7/13/99",1,2610351,3,"Burglery/Theft",800,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"7/13/99",1,2610351,8,"Huge expenditure due to illness",1.79769313486232e+308,2,4,1200
40,"7/13/99",1,2610441,3,"Burglery/Theft",1000,2,1.79769313486232e+308,1000
75,"7/13/99",1,2610459,3,"Burglery/Theft",3500,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"7/13/99",1,2610459,8,"Huge expenditure due to illness",1.79769313486232e+308,2,1.79769313486232e+308,2500
41,"7/13/99",1,2610541,7,"Damage to house/land due to cyclone",550,2,1.79769313486232e+308,1.79769313486232e+308
